total_w,gonad_w,newage,site,maturity,mat
100.5,0.3,1.5,K,I,0
61,0.06,1.5,K,I,0
107.5,0.12,2.5,K,I,0
69,0.09,1.5,K,I,0
107,0.43,1.5,K,I,0
60,0.04,1.5,K,I,0
56.5,0.08,1.5,K,I,0
52.5,0.05,1.5,K,I,0
121,0.15,2,K,I,0
114.5,0.36,1.5,K,I,0
140.5,0.19,2.5,K,I,0
108.5,0,1.5,K,I,0
64.5,0.01,1.5,K,I,0
80.5,0.3,1,K,I,0
151.5,0.6,2,K,I,0
33,0,1,K,I,0
39.5,0,1,K,I,0
27,0,1,K,I,0
35.5,0,1,K,I,0
14.5,0,0,K,I,0
101,0,2,K,I,0
25,0,1,K,I,0
16,0,0.5,K,I,0
11,0,1,K,I,0
11,0,1,K,I,0
384,0,2,K,I,0
106.5,0,2,K,I,0
38.5,0.02,1,K,I,0
83,0,1,K,I,0
49.5,0,1.5,K,I,0
16.5,0,1,K,I,0
16.5,0,1,K,I,0
2.5,0,0,K,I,0
4.5,0,0,K,I,0
2.5,0,0,K,I,0
5,0,0,K,I,0
3,0,0,K,I,0
1.45,0,0,K,I,0
