site,age,q,mean,lower,upper
K,0,0.1,-22.72697660908967,-33.567155825293725,-13.885283537508817
K,0.03015075376884422,0.1,-22.252448686518573,-32.78091461189641,-13.599683967949433
K,0.06030150753768844,0.1,-21.775642429877312,-31.992974993470643,-13.232400373907085
K,0.09045226130653267,0.1,-21.294279505094575,-31.294728443338887,-12.86820300283791
K,0.12060301507537688,0.1,-20.806081578099985,-30.740576729721134,-12.453446082336946
K,0.1507537688442211,0.1,-20.308770314823644,-29.957095641626253,-11.92193952767752
K,0.18090452261306533,0.1,-19.80006738119397,-29.292188415211367,-11.496860197006907
K,0.21105527638190955,0.1,-19.277694443140465,-28.740384947227565,-10.915938372759468
K,0.24120603015075376,0.1,-18.739373166592674,-28.133745692674594,-10.447193973183404
K,0.271356783919598,0.1,-18.18282521748076,-27.30123912158182,-9.871530995739576
K,0.3015075376884422,0.1,-17.60577226173277,-26.649824952488174,-9.232036057291504
K,0.3316582914572864,0.1,-17.005935965278667,-26.236346449336146,-8.638218018656248
K,0.36180904522613067,0.1,-16.38103799404862,-25.585257510096188,-7.998082857395451
K,0.39195979899497485,0.1,-15.728800013971084,-24.945920076064205,-7.370828099374257
K,0.4221105527638191,0.1,-15.046943690975478,-24.48651944633697,-6.742357551510679
K,0.4522613065326633,0.1,-14.333190690992119,-23.862579655424916,-6.054123736909335
K,0.4824120603015075,0.1,-13.58526267994949,-23.229541104303163,-5.29413094040942
K,0.5125628140703518,0.1,-12.800897576937379,-22.51238724467439,-4.421738620329849
K,0.542713567839196,0.1,-11.978407102615009,-21.75480408865132,-3.5119403984392443
K,0.5728643216080401,0.1,-11.11681642636372,-20.912076654969123,-2.4962011818630674
K,0.6030150753768844,0.1,-10.215195316236166,-20.021261227748393,-1.5224407733750525
K,0.6331658291457286,0.1,-9.272613540285557,-19.006176893370306,-0.60963706941328355
K,0.6633165829145728,0.1,-8.28814086656535,-18.007908193001487,0.3570928056013049
K,0.6934673366834171,0.1,-7.260847063127891,-16.959736529494425,1.3836135572197785
K,0.7236180904522613,0.1,-6.189801898025997,-15.774845106902735,2.4480008024642523
K,0.7537688442211055,0.1,-5.074075139313695,-14.6496676087799,3.52836343830453
K,0.7839195979899497,0.1,-3.9127365550431823,-13.492919493312106,4.640106138039797
K,0.8140703517587939,0.1,-2.7048559132672585,-12.106223701018799,5.851541318059798
K,0.8442211055276382,0.1,-1.4495029820395064,-10.792856291150574,7.081433840615033
K,0.8743718592964824,0.1,-0.1457475294128513,-9.467010745848842,8.38807134306619
K,0.9045226130653266,0.1,1.2073406765601817,-8.121471286975277,9.672609585493028
K,0.9346733668341708,0.1,2.610691867826218,-6.622497214698492,11.007818950294551
K,0.964824120603015,0.1,4.065236276332198,-5.056340681738025,12.35567838124703
K,0.9949748743718593,0.1,5.571904134025308,-3.4202694049792046,13.803439433696854
K,1.0251256281407035,0.1,7.131339549197978,-1.7212647135781918,15.242243066116876
K,1.0552763819095476,0.1,8.742284480087248,0.06348247750632673,16.703314405585456
K,1.085427135678392,0.1,10.402704917579275,1.8199759320679303,18.31975099017192
K,1.1155778894472361,0.1,12.110564563570636,3.6318737984367564,19.90980935591135
K,1.1457286432160803,0.1,13.863827119958227,5.519223251570702,21.635687717309438
K,1.1758793969849246,0.1,15.660456288638942,7.432461260282935,23.21494210504333
K,1.2060301507537687,0.1,17.498415771509393,9.305381824383558,24.959960574336343
K,1.236180904522613,0.1,19.375669270466343,11.260931157818018,26.74426857107382
K,1.2663316582914572,0.1,21.290180487406648,13.31394998552818,28.628410712507446
K,1.2964824120603013,0.1,23.239913124227048,15.292349452943839,30.49021659550851
K,1.3266331658291457,0.1,25.222830882824272,17.352738609726565,32.41085566578888
K,1.3567839195979898,0.1,27.23689746509521,19.288817972475716,34.35075496319958
K,1.3869346733668342,0.1,29.280076572936625,21.25201036923717,36.239721717553806
K,1.4170854271356783,0.1,31.3503319082452,23.322968958454915,38.316759470119806
K,1.4472361809045227,0.1,33.4456271729177,25.316584497352046,40.54787746409268
K,1.4773869346733668,0.1,35.563926068850996,27.561183623568983,42.77392524783685
K,1.507537688442211,0.1,37.703192437607626,29.755273316959876,44.981187804141804
K,1.5376884422110553,0.1,39.861407020305265,31.82478222944781,47.25531481083312
K,1.5678391959798994,0.1,42.03658337951221,33.817796751174384,49.62084195800295
K,1.5979899497487438,0.1,44.226738848771355,35.88534987788314,52.09641482844442
K,1.6281407035175879,0.1,46.42989076162621,37.88053856002037,54.56243218987607
K,1.658291457286432,0.1,48.644056451619846,39.94850319538178,57.01298392904739
K,1.6884422110552764,0.1,50.8672532522956,42.015907503400825,59.372278917398866
K,1.7185929648241205,0.1,53.097498497196725,43.969720564241975,61.90987100414329
K,1.7487437185929648,0.1,55.3328095198663,45.96946984903023,64.20243742200408
K,1.778894472361809,0.1,57.571203653847654,48.14627256489154,66.65652162457289
K,1.809045226130653,0.1,59.810698232683976,50.176401116275926,69.24877142549326
K,1.8391959798994975,0.1,62.04931058991854,52.19162522329496,71.8198248979413
K,1.8693467336683416,0.1,64.28505805909467,54.286475733186705,74.34958693421575
K,1.899497487437186,0.1,66.51595797375532,56.37922173420804,76.72741009549311
K,1.92964824120603,0.1,68.74002766744398,58.57102861836445,79.18040503694851
K,1.9597989949748742,0.1,70.95528447370378,60.609862400154626,81.62845807888421
K,1.9899497487437185,0.1,73.1597457260779,62.64609785036848,84.01880103716219
K,2.020100502512563,0.1,75.35157080586471,64.66717623873662,86.48723801777997
K,2.050251256281407,0.1,77.53057039951425,66.77672343917858,88.82909997525728
K,2.080402010050251,0.1,79.6976205516393,68.71935316415183,91.17262061465311
K,2.1105527638190953,0.1,81.85361506282193,70.847549488966,93.44539029964595
K,2.1407035175879394,0.1,83.99944773364426,72.95735445895319,95.7238664142372
K,2.170854271356784,0.1,86.13601236468834,75.09805426627028,97.96926322339239
K,2.201005025125628,0.1,88.26420275653629,77.19411566987459,100.19858520340611
K,2.2311557788944723,0.1,90.38491270977015,79.34635264842335,102.40194442228497
K,2.2613065326633164,0.1,92.49903602497204,81.42270962707573,104.58455251201029
